epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6992,3.2216,3.14452,3.55809,0.68599,0.41073,0.48154,0.29392,1.91656,2.27124,2.70336,0.000472492,0.000472492,0.000472492
2,41.772,1.12909,0.98203,1.52492,0.977,0.78177,0.83749,0.72219,0.65301,0.68358,1.15057,0.000901858,0.000901858,0.000901858
3,59.3373,0.81047,0.68896,1.17652,0.98133,0.81519,0.87166,0.78394,0.51894,0.48099,1.0139,0.00128407,0.00128407,0.00128407
4,77.0822,0.68337,0.60235,1.0679,0.92359,0.88625,0.95357,0.79623,0.63267,0.5068,1.00165,0.00121679,0.00121679,0.00121679
5,94.7619,0.596,0.53271,1.001,0.97417,0.97634,0.98972,0.87477,0.46082,0.39937,0.92099,0.00114606,0.00114606,0.00114606
6,112.43,0.53637,0.48123,0.95769,0.9834,0.98229,0.9906,0.88263,0.44659,0.39728,0.904,0.00107532,0.00107532,0.00107532
7,130.148,0.49868,0.45283,0.92867,0.98545,0.98432,0.99299,0.89196,0.40814,0.33266,0.87877,0.00100459,0.00100459,0.00100459
8,147.799,0.47366,0.42323,0.91539,0.99286,0.98844,0.99392,0.90953,0.38379,0.35532,0.87004,0.000933851,0.000933851,0.000933851
9,165.376,0.45836,0.41135,0.9058,0.99131,0.99298,0.99407,0.91578,0.36455,0.31072,0.84996,0.000863116,0.000863116,0.000863116
10,182.747,0.43021,0.38908,0.8896,0.99401,0.99365,0.99473,0.92522,0.34829,0.30353,0.84438,0.00079238,0.00079238,0.00079238
11,206.031,0.38765,0.34217,0.86211,0.99278,0.9951,0.99467,0.92509,0.35395,0.30116,0.82882,0.000721645,0.000721645,0.000721645
12,223.398,0.3645,0.31263,0.853,0.99574,0.99671,0.99496,0.92922,0.34522,0.28059,0.82529,0.000650909,0.000650909,0.000650909
13,238.999,0.358,0.30063,0.84794,0.99678,0.99578,0.99494,0.93928,0.31167,0.27397,0.81751,0.000580174,0.000580174,0.000580174
14,256.267,0.33972,0.28886,0.84175,0.99872,0.99615,0.99499,0.94211,0.29973,0.25228,0.81388,0.000509438,0.000509438,0.000509438
15,273.736,0.32811,0.27884,0.83251,0.99642,0.99726,0.99496,0.9462,0.28687,0.24424,0.80853,0.000438703,0.000438703,0.000438703
16,291.032,0.31992,0.26919,0.83257,0.99663,0.99725,0.99499,0.94388,0.29881,0.24253,0.80941,0.000367967,0.000367967,0.000367967
17,308.272,0.31647,0.26082,0.8269,0.99789,0.99807,0.99498,0.94335,0.28941,0.23546,0.80503,0.000297232,0.000297232,0.000297232
18,325.638,0.30829,0.25721,0.82585,0.99846,0.99799,0.995,0.95071,0.27303,0.2258,0.80215,0.000226497,0.000226497,0.000226497
19,342.999,0.30343,0.24974,0.82332,0.99933,0.99817,0.995,0.95174,0.26287,0.22037,0.79999,0.000155761,0.000155761,0.000155761
20,360.264,0.29939,0.24816,0.82358,0.9985,0.99815,0.995,0.95076,0.27146,0.22183,0.80024,8.50255e-05,8.50255e-05,8.50255e-05
